Timestamp;StudentuKiekis;GeneravimoLaikas;SkaitymoLaikas;VidurkioLaikas;trukmeIrasymo;DalinimoLaikas;BendrasLaikas
2024-10-22 17:03;1000;4;2;0;3;16;25
2024-10-22 17:03;10000;21;20;0;24;133;198
2024-10-22 17:03;100000;221;171;0;185;1040;1617
2024-10-22 17:03;1000000;1700;1502;0;1873;10327;15402
2024-10-22 17:03;10000000;16050;15302;0;19455;94019;144826
2024-10-22 17:06;1000;6;2;0;2;14;24
2024-10-22 17:06;10000;22;23;0;24;106;175
2024-10-22 17:06;100000;157;152;0;188;1048;1545
2024-10-22 17:06;1000000;1526;1503;0;1904;9896;14829
2024-10-22 17:06;10000000;15705;15020;0;18417;96840;145982
2024-10-22 17:08;1000;2;1;0;2;12;17
2024-10-22 17:08;10000;16;14;0;19;105;154
2024-10-22 17:08;100000;158;208;0;188;1038;1592
2024-10-22 17:08;1000000;1481;1507;0;1791;10010;14789
2024-10-22 17:09;10000000;15449;15438;0;19333;95156;145376
