Timestamp;StudentuKiekis;GeneravimoLaikas;SkaitymoLaikas;VidurkioLaikas;trukmeIrasymo;DalinimoLaikas;BendrasLaikas
2024-10-22 17:03;1000;4;2;0;3;16;25
2024-10-22 17:03;10000;21;20;0;24;133;198
2024-10-22 17:03;100000;221;171;0;185;1040;1617
2024-10-22 17:03;1000000;1700;1502;0;1873;10327;15402
2024-10-22 17:03;10000000;16050;15302;0;19455;94019;144826
2024-10-22 17:06;1000;6;2;0;2;14;24
2024-10-22 17:06;10000;22;23;0;24;106;175
2024-10-22 17:06;100000;157;152;0;188;1048;1545
2024-10-22 17:06;1000000;1526;1503;0;1904;9896;14829
2024-10-22 17:06;10000000;15705;15020;0;18417;96840;145982
2024-10-22 17:08;1000;2;1;0;2;12;17
2024-10-22 17:08;10000;16;14;0;19;105;154
2024-10-22 17:08;100000;158;208;0;188;1038;1592
2024-10-22 17:08;1000000;1481;1507;0;1791;10010;14789
2024-10-22 17:09;10000000;15449;15438;0;19333;95156;145376
2024-10-22 18:53:09;1000;3;3;0;3;16;25
2024-10-22 18:53:09;10000;22;24;0;25;135;206
2024-10-22 18:53:10;100000;211;189;0;189;1095;1684
2024-10-22 18:53:11;1000000;1732;1881;0;1876;10313;15802
2024-10-22 18:53:27;10000000;15153;18252;0;18253;105132;156790
2024-10-22 18:56:06;1000;2;2;0;2;12;18
2024-10-22 18:56:06;10000;16;19;0;19;106;160
2024-10-22 18:56:06;100000;183;194;0;189;1080;1646
2024-10-22 18:56:08;1000000;1674;1893;0;1799;10389;15755
2024-10-22 18:56:24;10000000;15310;18355;0;18636;122261;174562
2024-10-22 18:59:21;1000;59;2;0;2;16;79
2024-10-22 18:59:21;10000;17;19;0;19;124;179
2024-10-22 18:59:21;100000;167;196;0;189;1087;1639
2024-10-22 18:59:23;1000000;1557;1953;0;1919;11132;16561
2024-10-22 18:59:40;10000000;16595;19617;0;20090;115459;171761
